PassengerId,Survived,Age,Fare,Pclass_S,Pclass_T,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Others,Cabin_isin_Y,Family_size_M,Family_size_S
1,0,-0.5915958405663965,-0.9633783524709344,0,1,1,0,1,0,1,0,0,0,1,0
2,1,0.805434824491488,0.8768369528063462,0,0,0,0,0,0,0,1,0,1,1,0
3,1,-0.24233817430192536,-0.9136013636509956,0,1,0,0,1,1,0,0,0,0,0,1
4,1,0.5434915747931346,2.4177697029278624,0,0,0,0,1,0,0,1,0,1,1,0
5,0,0.5434915747931346,-0.9043834027584144,0,1,1,0,1,0,1,0,0,0,0,1
6,0,0.3129815150585836,-0.8742738552988871,0,1,1,1,0,0,1,0,0,0,0,1
7,0,2.2024654895493723,2.326511890091308,0,0,1,0,1,0,1,0,0,1,0,1
8,0,-2.337884171888752,0.0561281222485501,0,1,1,0,1,0,0,0,0,0,0,0
9,1,-0.1550237577358076,-0.6770094921976487,0,1,0,0,1,0,0,1,0,0,1,0
10,1,-1.2901111730953387,0.7195115830284082,1,0,0,0,0,0,0,1,0,0,1,0
11,1,-2.1632553387565165,-0.2665005089917931,0,1,0,0,1,1,0,0,0,1,1,0
12,1,0.6212014055369794,0.45987480934360825,0,0,0,0,1,1,0,0,0,1,0,1
13,0,-0.766224673698632,-0.9043834027584144,0,1,1,0,1,0,1,0,0,0,0,1
14,0,0.8927492410576057,0.8083137310831788,0,1,1,0,1,0,1,0,0,0,0,0
15,0,-1.2901111730953387,-0.9188224167005539,0,1,0,0,1,1,0,0,0,0,0,1
16,1,2.28977990611549,-0.31812108999024796,1,0,0,0,1,0,0,1,0,0,0,1
17,0,-2.337884171888752,0.6497648037307816,0,1,1,1,0,0,0,0,0,0,0,0
18,1,0.3129815150585836,-0.5393521514121976,1,0,1,0,1,0,1,0,0,0,0,1
19,0,0.1942339085286635,-0.17063371570894822,0,1,0,0,1,0,0,1,0,0,1,0
20,1,0.6212014055369794,-0.9652219446494507,0,1,0,0,0,0,0,1,0,0,0,1
21,0,0.5434915747931346,0.4193157814162508,1,0,1,0,1,0,1,0,0,0,0,1
22,1,0.4561771582270168,-0.5393521514121976,1,0,1,0,1,0,1,0,0,1,0,1
23,1,-1.2027967565292208,-0.90591727145094,0,1,0,1,0,1,0,0,0,0,0,1
24,1,-0.06770934116968982,1.1198808092524246,0,0,1,0,1,0,1,0,0,1,0,1
25,0,-1.8139976724920452,0.0561281222485501,0,1,0,0,1,1,0,0,0,0,0,0
26,1,0.805434824491488,0.8166098958865019,0,1,0,0,1,0,0,1,0,0,0,0
27,0,0.3129815150585836,-0.9652219446494507,0,1,1,0,0,0,1,0,0,0,0,1
28,0,-0.8535390902647498,0.8768369528063462,0,0,1,0,1,0,1,0,0,1,0,0
29,1,-0.6081855797139589,-0.9169788245220374,0,1,0,1,0,1,0,0,0,0,0,1
30,0,0.3129815150585836,-0.9157546793155026,0,1,1,0,1,0,1,0,0,0,0,1
31,0,0.9800636576237235,0.5462139182478811,0,0,1,0,0,0,0,0,1,0,0,1
32,1,0.6212014055369794,0.8768369528063462,0,0,0,0,0,0,0,1,0,1,1,0
33,1,-0.6081855797139589,-0.9265065089006095,0,1,0,1,0,1,0,0,0,0,0,1
34,0,0.6212014055369794,-0.7237113692638223,1,0,1,0,1,0,1,0,0,0,0,1
35,0,-0.06770934116968982,0.8768369528063462,0,0,1,0,0,0,1,0,0,0,1,0
36,0,1.154692490755959,2.3366516470731478,0,0,1,0,1,0,1,0,0,0,1,0
37,1,0.3129815150585836,-0.96491222116346,0,1,1,0,0,0,1,0,0,0,0,1
38,0,-0.6789102571325143,-0.9043834027584144,0,1,1,0,1,0,1,0,0,0,0,1
39,0,-0.9408535068308675,-0.17063371570894822,0,1,0,0,1,1,0,0,0,0,1,0
40,1,-1.2901111730953387,-0.6690156765116023,0,1,0,0,0,1,0,0,0,0,1,0
41,0,0.9800636576237235,-0.7992986485829885,0,1,0,0,1,0,0,1,0,0,1,0
42,0,-0.1550237577358076,0.05059734571300141,1,0,0,0,1,0,0,1,0,0,1,0
43,0,0.3129815150585836,-0.9157546793155026,0,1,1,0,0,0,1,0,0,0,0,1
44,1,-2.2505697553226343,1.5681834321178634,1,0,0,0,0,1,0,0,0,0,1,0
45,1,-0.8535390902647498,-0.9169788245220374,0,1,0,1,0,1,0,0,0,0,0,1
46,0,0.3129815150585836,-0.9043834027584144,0,1,1,0,1,0,1,0,0,0,0,1
47,0,0.3129815150585836,-0.35499293356057293,0,1,1,1,0,0,1,0,0,0,1,0
48,1,-0.6081855797139589,-0.9265065089006095,0,1,0,1,0,1,0,0,0,0,0,1
49,0,0.3129815150585836,0.10068405801893092,0,1,1,0,0,0,1,0,0,0,1,0
50,0,-0.9408535068308675,-0.18538245313707813,0,1,0,0,1,0,0,1,0,0,1,0
51,0,-1.9013120890581632,1.428682499153896,0,1,1,0,1,0,0,0,0,0,0,0
52,0,-0.6789102571325143,-0.9228193245435768,0,1,1,0,1,0,1,0,0,0,0,1
53,1,1.7658934067187835,0.8768369528063462,0,0,0,0,0,0,0,1,0,1,1,0
54,1,0.019605075396427956,0.4193157814162508,1,0,0,0,1,0,0,1,0,0,1,0
55,0,0.6212014055369794,3.072554649787121,0,0,1,0,0,0,1,0,0,1,1,0
56,1,0.3129815150585836,1.1198808092524246,0,0,1,0,1,0,1,0,0,1,0,1
57,1,-0.6789102571325143,-0.7237113692638223,1,0,0,0,1,1,0,0,0,0,0,1
58,0,-0.024052132886630932,-0.96491222116346,0,1,1,0,0,0,1,0,0,0,0,1
59,1,-2.075940922190399,0.5483672339123881,1,0,0,0,1,1,0,0,0,0,1,0
60,0,-1.552054422793692,1.9605588426558331,0,1,1,0,1,0,0,0,0,0,0,0
61,0,-0.5915958405663965,-0.96491222116346,0,1,1,0,0,0,1,0,0,0,0,1
62,1,0.805434824491488,0.8768369528063462,0,0,0,0,1,1,0,0,0,1,0,1
63,0,1.4166357404543124,0.8768369528063462,0,0,1,0,1,0,1,0,0,1,1,0
64,0,-2.1632553387565165,0.5594287869834854,0,1,1,0,1,0,0,0,0,0,0,0
65,0,0.3129815150585836,0.5462139182478811,0,0,1,0,0,0,1,0,0,0,0,1
66,1,-2.113486121313829,-0.3737385788317262,0,1,1,0,0,0,0,0,0,0,1,0
67,1,0.019605075396427956,-0.7237113692638223,1,0,0,0,1,0,0,1,0,1,0,1
68,0,-0.8535390902647498,-0.896396961441082,0,1,1,0,1,0,1,0,0,0,0,1
69,1,-1.0281679233969854,-0.9136013636509956,0,1,0,0,1,1,0,0,0,0,0,0
70,0,-0.24233817430192536,-0.8592153943847665,0,1,1,0,1,0,1,0,0,0,1,0
71,0,0.2815483250947813,-0.7237113692638223,1,0,1,0,1,0,1,0,0,0,0,1
72,0,-1.115482339963103,1.9605588426558331,0,1,0,0,1,1,0,0,0,0,0,0
73,0,-0.6789102571325143,0.8768369528063462,1,0,1,0,1,0,1,0,0,0,0,1
74,0,-0.24233817430192536,-0.43211408157226455,0,1,1,0,0,0,1,0,0,0,1,0
75,1,0.2815483250947813,2.6681885157200815,0,1,1,0,1,0,1,0,0,0,0,1
76,0,-0.32965259086804316,-0.9338808776146744,0,1,1,0,1,0,1,0,0,1,0,1
77,0,0.3129815150585836,-0.9157546793155026,0,1,1,0,1,0,1,0,0,0,0,1
78,0,0.3129815150585836,-0.9043834027584144,0,1,1,0,1,0,1,0,0,0,0,1
79,1,-2.44004203927111,0.6405468428382004,1,0,1,0,1,0,0,0,0,0,1,0
80,1,0.10691949196254573,-0.5780675871610388,0,1,0,0,1,1,0,0,0,0,0,1
81,0,-0.5915958405663965,-0.8343268999747971,0,1,1,0,1,0,1,0,0,0,0,1
82,1,0.019605075396427956,-0.7974550564044721,0,1,1,0,1,0,1,0,0,0,0,1
83,1,-0.6081855797139589,-0.9237411206328351,0,1,0,1,0,1,0,0,0,0,0,1
